# Sy1 spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0001102193
 3600.1      0.0001101831
 3600.2      0.0001101281
 3600.3      0.0001100552
 3600.4      0.0001099662
 3600.5      0.0001098620
 3600.6      0.0001097442
 3600.7      0.0001096143
 3600.8      0.0001094732
 3600.9      0.0001093229
 3601.0      0.0001091640
 3601.1      0.0001089981
 3601.2      0.0001088271
 3601.3      0.0001086515
 3601.4      0.0001084734
 3601.5      0.0001082934
 3601.6      0.0001081131
 3601.7      0.0001079345
 3601.8      0.0001077580
 3601.9      0.0001075857
 3602.0      0.0001074182
 3602.1      0.0001072647
 3602.2      0.0001071105
 3602.3      0.0001069556
 3602.4      0.0001068014
 3602.5      0.0001066480
 3602.6      0.0001064966
 3602.7      0.0001063482
 3602.8      0.0001062028
 3602.9      0.0001060621
 3603.0      0.0001059259
 3603.1      0.0001057954
 3603.2      0.0001056717
 3603.3      0.0001055550
 3603.4      0.0001054465
 3603.5      0.0001053465
 3603.6      0.0001052560
 3603.7      0.0001051759
 3603.8      0.0001051067
 3603.9      0.0001050495
 3604.0      0.0001050046
 3604.1      0.0001049963
 3604.2      0.0001050025
 3604.3      0.0001050216
 3604.4      0.0001050523
 3604.5      0.0001050933
 3604.6      0.0001051433
 3604.7      0.0001052006
 3604.8      0.0001052642
 3604.9      0.0001053325
 3605.0      0.0001054044
 3605.1      0.0001054783
 3605.2      0.0001055527
 3605.3      0.0001056267
 3605.4      0.0001056984
 3605.5      0.0001057669
 3605.6      0.0001058306
 3605.7      0.0001058880
 3605.8      0.0001059381
 3605.9      0.0001059791
 3606.0      0.0001060101
 3606.1      0.0001060120
 3606.2      0.0001060073
 3606.3      0.0001059961
 3606.4      0.0001059787
 3606.5      0.0001059551
 3606.6      0.0001059255
 3606.7      0.0001058901
 3606.8      0.0001058490
 3606.9      0.0001058024
 3607.0      0.0001057504
 3607.1      0.0001056932
 3607.2      0.0001056310
 3607.3      0.0001055638
 3607.4      0.0001054920
 3607.5      0.0001054154
 3607.6      0.0001053344
 3607.7      0.0001052493
 3607.8      0.0001051598
 3607.9      0.0001050666
 3608.0      0.0001049693
 3608.1      0.0001048740
 3608.2      0.0001047733
 3608.3      0.0001046671
 3608.4      0.0001045566
 3608.5      0.0001044414
 3608.6      0.0001043224
 3608.7      0.0001042003
 3608.8      0.0001040749
 3608.9      0.0001039472
 3609.0      0.0001038172
 3609.1      0.0001036855
 3609.2      0.0001035528
 3609.3      0.0001034191
 3609.4      0.0001032853
 3609.5      0.0001031513
 3609.6      0.0001030178
 3609.7      0.0001028855
 3609.8      0.0001027544
 3609.9      0.0001026254
 3610.0      0.0001024983
 3610.1      0.0001024005
 3610.2      0.0001023057
 3610.3      0.0001022131
 3610.4      0.0001021223
 3610.5      0.0001020322
 3610.6      0.0001019424
 3610.7      0.0001018525
 3610.8      0.0001017613
 3610.9      0.0001016686
 3611.0      0.0001015734
 3611.1      0.0001014751
 3611.2      0.0001013734
 3611.3      0.0001012670
 3611.4      0.0001011560
 3611.5      0.0001010390
 3611.6      0.0001009156
 3611.7      0.0001007855
 3611.8      0.0001006475
 3611.9      0.0001005015
 3612.0      0.0001003461
 3612.1      0.0001001572
