# B8V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3624.2      0.0001151341
 3624.3      0.0001151273
 3624.4      0.0001151206
 3624.5      0.0001151138
 3624.6      0.0001151070
 3624.7      0.0001151002
 3624.8      0.0001150934
 3624.9      0.0001150866
 3625.0      0.0001150798
 3625.1      0.0001150729
 3625.2      0.0001150661
 3625.3      0.0001150592
 3625.4      0.0001150523
 3625.5      0.0001150454
 3625.6      0.0001150386
 3625.7      0.0001150317
 3625.8      0.0001150248
 3625.9      0.0001150180
 3626.0      0.0001150111
 3626.1      0.0001150043
 3626.2      0.0001149975
 3626.3      0.0001149907
 3626.4      0.0001149840
 3626.5      0.0001149772
 3626.6      0.0001149704
 3626.7      0.0001149637
 3626.8      0.0001149569
 3626.9      0.0001149501
 3627.0      0.0001149433
 3627.1      0.0001149365
 3627.2      0.0001149297
 3627.3      0.0001149229
 3627.4      0.0001149161
 3627.5      0.0001149093
 3627.6      0.0001149025
 3627.7      0.0001148957
 3627.8      0.0001148888
 3627.9      0.0001148820
 3628.0      0.0001148752
 3628.1      0.0001148685
 3628.2      0.0001148617
 3628.3      0.0001148549
 3628.4      0.0001148482
 3628.5      0.0001148414
 3628.6      0.0001148346
 3628.7      0.0001148279
 3628.8      0.0001148211
 3628.9      0.0001148143
 3629.0      0.0001148075
 3629.1      0.0001148003
 3629.2      0.0001147929
 3629.3      0.0001147856
 3629.4      0.0001147783
 3629.5      0.0001147712
 3629.6      0.0001147642
 3629.7      0.0001147575
 3629.8      0.0001147511
 3629.9      0.0001147451
 3630.0      0.0001147395
 3630.1      0.0001147345
 3630.2      0.0001147301
 3630.3      0.0001147260
 3630.4      0.0001147222
 3630.5      0.0001147187
 3630.6      0.0001147153
 3630.7      0.0001147121
 3630.8      0.0001147090
 3630.9      0.0001147059
 3631.0      0.0001147027
 3631.1      0.0001146990
 3631.2      0.0001146954
 3631.3      0.0001146917
 3631.4      0.0001146881
 3631.5      0.0001146845
 3631.6      0.0001146808
 3631.7      0.0001146772
 3631.8      0.0001146736
 3631.9      0.0001146700
 3632.0      0.0001146663
 3632.1      0.0001146627
 3632.2      0.0001146591
 3632.3      0.0001146554
 3632.4      0.0001146518
 3632.5      0.0001146482
 3632.6      0.0001146445
 3632.7      0.0001146409
 3632.8      0.0001146373
 3632.9      0.0001146336
 3633.0      0.0001146300
 3633.1      0.0001146264
 3633.2      0.0001146227
 3633.3      0.0001146191
 3633.4      0.0001146155
 3633.5      0.0001146118
 3633.6      0.0001146082
 3633.7      0.0001146045
 3633.8      0.0001146009
 3633.9      0.0001145973
 3634.0      0.0001145936
 3634.1      0.0001145900
 3634.2      0.0001145864
 3634.3      0.0001145828
 3634.4      0.0001145792
 3634.5      0.0001145755
 3634.6      0.0001145719
 3634.7      0.0001145683
 3634.8      0.0001145646
 3634.9      0.0001145610
 3635.0      0.0001145573
 3635.1      0.0001145537
 3635.2      0.0001145500
 3635.3      0.0001145463
 3635.4      0.0001145427
 3635.5      0.0001145390
 3635.6      0.0001145353
 3635.7      0.0001145316
 3635.8      0.0001145279
 3635.9      0.0001145243
 3636.0      0.0001145206
 3636.1      0.0001145170
 3636.2      0.0001145134
 3636.3      0.0001145097
 3636.4      0.0001145061
 3636.5      0.0001145025
 3636.6      0.0001144989
 3636.7      0.0001144953
 3636.8      0.0001144917
 3636.9      0.0001144880
 3637.0      0.0001144844
 3637.1      0.0001144807
 3637.2      0.0001144770
 3637.3      0.0001144733
 3637.4      0.0001144696
 3637.5      0.0001144658
 3637.6      0.0001144621
 3637.7      0.0001144584
 3637.8      0.0001144547
 3637.9      0.0001144510
 3638.0      0.0001144473
 3638.1      0.0001144436
 3638.2      0.0001144400
 3638.3      0.0001144363
 3638.4      0.0001144327
 3638.5      0.0001144291
 3638.6      0.0001144255
 3638.7      0.0001144219
 3638.8      0.0001144183
 3638.9      0.0001144147
 3639.0      0.0001144111
 3639.1      0.0001144045
 3639.2      0.0001143975
 3639.3      0.0001143906
 3639.4      0.0001143840
 3639.5      0.0001143782
 3639.6      0.0001143736
 3639.7      0.0001143706
 3639.8      0.0001143695
 3639.9      0.0001143708
 3640.0      0.0001143749
 3640.1      0.0001143833
 3640.2      0.0001143944
 3640.3      0.0001144079
 3640.4      0.0001144233
 3640.5      0.0001144403
 3640.6      0.0001144585
 3640.7      0.0001144774
 3640.8      0.0001144968
 3640.9      0.0001145161
 3641.0      0.0001145350
 3641.1      0.0001145510
 3641.2      0.0001145670
 3641.3      0.0001145829
 3641.4      0.0001145988
 3641.5      0.0001146148
 3641.6      0.0001146307
 3641.7      0.0001146466
 3641.8      0.0001146625
 3641.9      0.0001146784
 3642.0      0.0001146944
 3642.1      0.0001147104
 3642.2      0.0001147263
 3642.3      0.0001147423
 3642.4      0.0001147582
 3642.5      0.0001147742
 3642.6      0.0001147902
 3642.7      0.0001148061
 3642.8      0.0001148221
 3642.9      0.0001148380
 3643.0      0.0001148540
 3643.1      0.0001148700
