# Starburst6 spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0001010596
 3600.1      0.0001011049
 3600.2      0.0001011470
 3600.3      0.0001011862
 3600.4      0.0001012225
 3600.5      0.0001012560
 3600.6      0.0001012868
 3600.7      0.0001013148
 3600.8      0.0001013402
 3600.9      0.0001013631
 3601.0      0.0001013835
 3601.1      0.0001014015
 3601.2      0.0001014171
 3601.3      0.0001014305
 3601.4      0.0001014416
 3601.5      0.0001014506
 3601.6      0.0001014576
 3601.7      0.0001014625
 3601.8      0.0001014656
 3601.9      0.0001014667
 3602.0      0.0001014661
 3602.1      0.0001014637
 3602.2      0.0001014597
 3602.3      0.0001014541
 3602.4      0.0001014469
 3602.5      0.0001014383
 3602.6      0.0001014284
 3602.7      0.0001014171
 3602.8      0.0001014046
 3602.9      0.0001013909
 3603.0      0.0001013761
 3603.1      0.0001013602
 3603.2      0.0001013434
 3603.3      0.0001013257
 3603.4      0.0001013072
 3603.5      0.0001012879
 3603.6      0.0001012678
 3603.7      0.0001012472
 3603.8      0.0001012260
 3603.9      0.0001012044
 3604.0      0.0001011823
 3604.1      0.0001011598
 3604.2      0.0001011371
 3604.3      0.0001011142
 3604.4      0.0001010911
 3604.5      0.0001010679
 3604.6      0.0001010447
 3604.7      0.0001010217
 3604.8      0.0001009987
 3604.9      0.0001009759
 3605.0      0.0001009534
 3605.1      0.0001009309
 3605.2      0.0001009074
 3605.3      0.0001008828
 3605.4      0.0001008574
 3605.5      0.0001008310
 3605.6      0.0001008039
 3605.7      0.0001007761
 3605.8      0.0001007477
 3605.9      0.0001007188
 3606.0      0.0001006895
 3606.1      0.0001006597
 3606.2      0.0001006298
 3606.3      0.0001005996
 3606.4      0.0001005694
 3606.5      0.0001005391
 3606.6      0.0001005089
 3606.7      0.0001004789
 3606.8      0.0001004490
 3606.9      0.0001004196
 3607.0      0.0001003904
 3607.1      0.0001003618
 3607.2      0.0001003338
 3607.3      0.0001003063
 3607.4      0.0001002797
 3607.5      0.0001002538
 3607.6      0.0001002288
 3607.7      0.0001002049
 3607.8      0.0001001819
 3607.9      0.0001001602
 3608.0      0.0001001396
 3608.1      0.0001001204
 3608.2      0.0001001026
 3608.3      0.0001000863
 3608.4      0.0001000715
 3608.5      0.0001000584
 3608.6      0.0001000470
 3608.7      0.0001000375
 3608.8      0.0001000298
 3608.9      0.0001000241
 3609.0      0.0001000205
 3609.1      0.0001000190
 3609.2      0.0001000198
 3609.3      0.0001000228
 3609.4      0.0001000283
 3609.5      0.0001000363
 3609.6      0.0001000468
 3609.7      0.0001000600
 3609.8      0.0001000759
 3609.9      0.0001000946
 3610.0      0.0001001163
 3610.1      0.0001001753
 3610.2      0.0001002384
 3610.3      0.0001003056
 3610.4      0.0001003764
 3610.5      0.0001004508
 3610.6      0.0001005286
 3610.7      0.0001006092
 3610.8      0.0001006928
 3610.9      0.0001007788
 3611.0      0.0001008674
 3611.1      0.0001009582
 3611.2      0.0001010507
 3611.3      0.0001011451
 3611.4      0.0001012407
 3611.5      0.0001013378
 3611.6      0.0001014359
 3611.7      0.0001015346
 3611.8      0.0001016341
 3611.9      0.0001017337
 3612.0      0.0001018336
 3612.1      0.0001019334
 3612.2      0.0001020326
 3612.3      0.0001021315
 3612.4      0.0001022294
