# F0V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0001345540
 3600.1      0.0001345704
 3600.2      0.0001345868
 3600.3      0.0001346033
 3600.4      0.0001346197
 3600.5      0.0001346362
 3600.6      0.0001346526
 3600.7      0.0001346691
 3600.8      0.0001346855
 3600.9      0.0001347019
 3601.0      0.0001347184
 3601.1      0.0001347348
 3601.2      0.0001347512
 3601.3      0.0001347676
 3601.4      0.0001347840
 3601.5      0.0001348004
 3601.6      0.0001348168
 3601.7      0.0001348332
 3601.8      0.0001348496
 3601.9      0.0001348660
 3602.0      0.0001348824
 3602.1      0.0001348988
 3602.2      0.0001349152
 3602.3      0.0001349317
 3602.4      0.0001349481
 3602.5      0.0001349645
 3602.6      0.0001349810
 3602.7      0.0001349974
 3602.8      0.0001350138
 3602.9      0.0001350302
 3603.0      0.0001350466
 3603.1      0.0001350630
 3603.2      0.0001350794
 3603.3      0.0001350958
 3603.4      0.0001351122
 3603.5      0.0001351285
 3603.6      0.0001351449
 3603.7      0.0001351613
 3603.8      0.0001351777
 3603.9      0.0001351940
 3604.0      0.0001352104
 3604.1      0.0001352268
 3604.2      0.0001352432
 3604.3      0.0001352595
 3604.4      0.0001352759
 3604.5      0.0001352923
 3604.6      0.0001353087
 3604.7      0.0001353250
 3604.8      0.0001353414
 3604.9      0.0001353577
 3605.0      0.0001353741
 3605.1      0.0001353906
 3605.2      0.0001354069
 3605.3      0.0001354234
 3605.4      0.0001354398
 3605.5      0.0001354562
 3605.6      0.0001354726
 3605.7      0.0001354890
 3605.8      0.0001355054
 3605.9      0.0001355217
 3606.0      0.0001355381
 3606.1      0.0001355545
 3606.2      0.0001355708
 3606.3      0.0001355871
 3606.4      0.0001356034
 3606.5      0.0001356197
 3606.6      0.0001356360
 3606.7      0.0001356523
 3606.8      0.0001356686
 3606.9      0.0001356849
 3607.0      0.0001357013
 3607.1      0.0001357176
 3607.2      0.0001357340
 3607.3      0.0001357504
 3607.4      0.0001357667
 3607.5      0.0001357831
 3607.6      0.0001357995
 3607.7      0.0001358158
 3607.8      0.0001358322
 3607.9      0.0001358486
 3608.0      0.0001358650
 3608.1      0.0001358814
 3608.2      0.0001358977
 3608.3      0.0001359141
 3608.4      0.0001359304
 3608.5      0.0001359468
 3608.6      0.0001359632
 3608.7      0.0001359795
 3608.8      0.0001359959
 3608.9      0.0001360122
 3609.0      0.0001360286
 3609.1      0.0001360468
 3609.2      0.0001360652
 3609.3      0.0001360837
 3609.4      0.0001361018
 3609.5      0.0001361195
 3609.6      0.0001361365
 3609.7      0.0001361524
 3609.8      0.0001361672
 3609.9      0.0001361804
 3610.0      0.0001361919
 3610.1      0.0001362006
 3610.2      0.0001362076
 3610.3      0.0001362131
 3610.4      0.0001362174
 3610.5      0.0001362207
 3610.6      0.0001362232
 3610.7      0.0001362253
 3610.8      0.0001362271
 3610.9      0.0001362289
 3611.0      0.0001362310
 3611.1      0.0001362350
 3611.2      0.0001362389
 3611.3      0.0001362429
 3611.4      0.0001362469
 3611.5      0.0001362509
 3611.6      0.0001362549
 3611.7      0.0001362588
 3611.8      0.0001362628
 3611.9      0.0001362668
 3612.0      0.0001362708
 3612.1      0.0001362747
 3612.2      0.0001362787
 3612.3      0.0001362826
 3612.4      0.0001362866
 3612.5      0.0001362905
 3612.6      0.0001362944
 3612.7      0.0001362983
 3612.8      0.0001363023
 3612.9      0.0001363062
 3613.0      0.0001363101
 3613.1      0.0001363139
 3613.2      0.0001363178
 3613.3      0.0001363217
 3613.4      0.0001363255
 3613.5      0.0001363294
 3613.6      0.0001363332
 3613.7      0.0001363371
 3613.8      0.0001363410
 3613.9      0.0001363448
 3614.0      0.0001363487
 3614.1      0.0001363526
 3614.2      0.0001363565
 3614.3      0.0001363604
 3614.4      0.0001363644
 3614.5      0.0001363683
 3614.6      0.0001363722
 3614.7      0.0001363762
 3614.8      0.0001363801
 3614.9      0.0001363840
 3615.0      0.0001363880
 3615.1      0.0001363919
 3615.2      0.0001363958
 3615.3      0.0001363998
 3615.4      0.0001364037
 3615.5      0.0001364077
 3615.6      0.0001364116
 3615.7      0.0001364155
 3615.8      0.0001364195
 3615.9      0.0001364234
 3616.0      0.0001364273
 3616.1      0.0001364312
 3616.2      0.0001364351
 3616.3      0.0001364389
 3616.4      0.0001364428
 3616.5      0.0001364467
 3616.6      0.0001364506
 3616.7      0.0001364544
 3616.8      0.0001364583
 3616.9      0.0001364622
 3617.0      0.0001364661
 3617.1      0.0001364700
 3617.2      0.0001364740
 3617.3      0.0001364779
 3617.4      0.0001364818
 3617.5      0.0001364858
 3617.6      0.0001364897
 3617.7      0.0001364937
 3617.8      0.0001364976
 3617.9      0.0001365016
 3618.0      0.0001365055
 3618.1      0.0001365094
 3618.2      0.0001365133
 3618.3      0.0001365172
 3618.4      0.0001365211
 3618.5      0.0001365250
 3618.6      0.0001365289
 3618.7      0.0001365327
 3618.8      0.0001365366
 3618.9      0.0001365405
 3619.0      0.0001365444
 3619.1      0.0001365483
 3619.2      0.0001365521
 3619.3      0.0001365560
 3619.4      0.0001365599
 3619.5      0.0001365638
 3619.6      0.0001365677
 3619.7      0.0001365716
 3619.8      0.0001365755
 3619.9      0.0001365794
 3620.0      0.0001365833
 3620.1      0.0001365872
 3620.2      0.0001365912
 3620.3      0.0001365951
 3620.4      0.0001365991
 3620.5      0.0001366030
 3620.6      0.0001366070
 3620.7      0.0001366109
 3620.8      0.0001366149
 3620.9      0.0001366188
 3621.0      0.0001366227
 3621.1      0.0001366266
 3621.2      0.0001366306
 3621.3      0.0001366345
 3621.4      0.0001366383
 3621.5      0.0001366422
 3621.6      0.0001366461
 3621.7      0.0001366500
 3621.8      0.0001366539
 3621.9      0.0001366578
 3622.0      0.0001366617
 3622.1      0.0001366656
 3622.2      0.0001366694
 3622.3      0.0001366733
 3622.4      0.0001366772
 3622.5      0.0001366811
 3622.6      0.0001366850
 3622.7      0.0001366889
 3622.8      0.0001366928
 3622.9      0.0001366966
 3623.0      0.0001367005
 3623.1      0.0001367044
 3623.2      0.0001367083
 3623.3      0.0001367122
 3623.4      0.0001367161
 3623.5      0.0001367200
 3623.6      0.0001367239
 3623.7      0.0001367278
 3623.8      0.0001367317
 3623.9      0.0001367356
 3624.0      0.0001367395
 3624.1      0.0001367434
 3624.2      0.0001367473
 3624.3      0.0001367512
 3624.4      0.0001367551
 3624.5      0.0001367590
 3624.6      0.0001367630
 3624.7      0.0001367669
 3624.8      0.0001367708
 3624.9      0.0001367747
 3625.0      0.0001367786
 3625.1      0.0001367825
 3625.2      0.0001367864
 3625.3      0.0001367903
 3625.4      0.0001367942
 3625.5      0.0001367981
 3625.6      0.0001368020
 3625.7      0.0001368059
 3625.8      0.0001368098
 3625.9      0.0001368137
 3626.0      0.0001368176
 3626.1      0.0001368215
 3626.2      0.0001368254
 3626.3      0.0001368294
 3626.4      0.0001368333
 3626.5      0.0001368372
 3626.6      0.0001368411
 3626.7      0.0001368450
 3626.8      0.0001368489
 3626.9      0.0001368528
 3627.0      0.0001368567
 3627.1      0.0001368605
 3627.2      0.0001368644
 3627.3      0.0001368682
 3627.4      0.0001368721
 3627.5      0.0001368759
 3627.6      0.0001368798
 3627.7      0.0001368836
 3627.8      0.0001368875
 3627.9      0.0001368913
 3628.0      0.0001368952
 3628.1      0.0001368991
 3628.2      0.0001369030
 3628.3      0.0001369069
 3628.4      0.0001369108
 3628.5      0.0001369147
 3628.6      0.0001369186
 3628.7      0.0001369225
 3628.8      0.0001369265
 3628.9      0.0001369304
 3629.0      0.0001369343
 3629.1      0.0001369389
 3629.2      0.0001369437
 3629.3      0.0001369484
 3629.4      0.0001369530
 3629.5      0.0001369575
 3629.6      0.0001369616
 3629.7      0.0001369653
 3629.8      0.0001369685
 3629.9      0.0001369711
 3630.0      0.0001369729
 3630.1      0.0001369737
 3630.2      0.0001369738
 3630.3      0.0001369732
 3630.4      0.0001369721
 3630.5      0.0001369707
 3630.6      0.0001369689
 3630.7      0.0001369669
 3630.8      0.0001369648
 3630.9      0.0001369627
 3631.0      0.0001369607
 3631.1      0.0001369594
 3631.2      0.0001369582
 3631.3      0.0001369569
 3631.4      0.0001369557
 3631.5      0.0001369544
 3631.6      0.0001369531
 3631.7      0.0001369519
 3631.8      0.0001369506
 3631.9      0.0001369494
 3632.0      0.0001369481
 3632.1      0.0001369469
 3632.2      0.0001369457
 3632.3      0.0001369445
 3632.4      0.0001369433
 3632.5      0.0001369421
 3632.6      0.0001369409
 3632.7      0.0001369397
 3632.8      0.0001369385
 3632.9      0.0001369373
 3633.0      0.0001369360
 3633.1      0.0001369348
 3633.2      0.0001369335
 3633.3      0.0001369322
 3633.4      0.0001369309
 3633.5      0.0001369297
 3633.6      0.0001369284
 3633.7      0.0001369271
 3633.8      0.0001369258
 3633.9      0.0001369245
 3634.0      0.0001369233
 3634.1      0.0001369221
 3634.2      0.0001369209
 3634.3      0.0001369196
 3634.4      0.0001369184
 3634.5      0.0001369172
 3634.6      0.0001369160
 3634.7      0.0001369149
 3634.8      0.0001369137
 3634.9      0.0001369124
 3635.0      0.0001369112
 3635.1      0.0001369100
 3635.2      0.0001369088
 3635.3      0.0001369075
 3635.4      0.0001369063
 3635.5      0.0001369050
 3635.6      0.0001369037
 3635.7      0.0001369025
 3635.8      0.0001369012
 3635.9      0.0001369000
 3636.0      0.0001368987
 3636.1      0.0001368974
 3636.2      0.0001368961
 3636.3      0.0001368949
 3636.4      0.0001368936
 3636.5      0.0001368923
 3636.6      0.0001368910
 3636.7      0.0001368898
 3636.8      0.0001368885
 3636.9      0.0001368872
 3637.0      0.0001368860
 3637.1      0.0001368848
 3637.2      0.0001368836
 3637.3      0.0001368823
 3637.4      0.0001368811
 3637.5      0.0001368799
 3637.6      0.0001368787
 3637.7      0.0001368776
 3637.8      0.0001368763
 3637.9      0.0001368751
 3638.0      0.0001368739
 3638.1      0.0001368727
 3638.2      0.0001368714
 3638.3      0.0001368702
 3638.4      0.0001368689
 3638.5      0.0001368677
 3638.6      0.0001368664
 3638.7      0.0001368652
 3638.8      0.0001368639
 3638.9      0.0001368627
 3639.0      0.0001368614
 3639.1      0.0001368431
 3639.2      0.0001368226
 3639.3      0.0001368021
 3639.4      0.0001367838
 3639.5      0.0001367701
 3639.6      0.0001367632
 3639.7      0.0001367655
 3639.8      0.0001367791
 3639.9      0.0001368062
 3640.0      0.0001368494
 3640.1      0.0001369177
 3640.2      0.0001370016
 3640.3      0.0001370994
 3640.4      0.0001372084
 3640.5      0.0001373267
 3640.6      0.0001374518
 3640.7      0.0001375812
 3640.8      0.0001377131
 3640.9      0.0001378448
 3641.0      0.0001379744
 3641.1      0.0001380870
 3641.2      0.0001381994
 3641.3      0.0001383120
 3641.4      0.0001384243
 3641.5      0.0001385369
 3641.6      0.0001386494
 3641.7      0.0001387617
 3641.8      0.0001388743
 3641.9      0.0001389865
 3642.0      0.0001390991
 3642.1      0.0001392116
 3642.2      0.0001393238
 3642.3      0.0001394363
 3642.4      0.0001395485
 3642.5      0.0001396610
 3642.6      0.0001397734
 3642.7      0.0001398856
 3642.8      0.0001399981
 3642.9      0.0001401103
 3643.0      0.0001402228
 3643.1      0.0001403353
 3643.2      0.0001404476
 3643.3      0.0001405601
 3643.4      0.0001406724
 3643.5      0.0001407849
 3643.6      0.0001408974
 3643.7      0.0001410097
 3643.8      0.0001411222
 3643.9      0.0001412344
 3644.0      0.0001413468
 3644.1      0.0001414593
 3644.2      0.0001415714
 3644.3      0.0001416838
 3644.4      0.0001417959
 3644.5      0.0001419082
 3644.6      0.0001420206
 3644.7      0.0001421327
 3644.8      0.0001422450
 3644.9      0.0001423571
 3645.0      0.0001424694
 3645.1      0.0001425818
 3645.2      0.0001426939
 3645.3      0.0001428063
 3645.4      0.0001429184
 3645.5      0.0001430307
 3645.6      0.0001431431
 3645.7      0.0001432552
 3645.8      0.0001433675
 3645.9      0.0001434796
 3646.0      0.0001435919
 3646.1      0.0001437042
 3646.2      0.0001438162
 3646.3      0.0001439285
 3646.4      0.0001440405
 3646.5      0.0001441527
 3646.6      0.0001442650
 3646.7      0.0001443769
 3646.8      0.0001444891
 3646.9      0.0001446011
 3647.0      0.0001447133
 3647.1      0.0001448256
 3647.2      0.0001449375
 3647.3      0.0001450498
 3647.4      0.0001451617
 3647.5      0.0001452739
 3647.6      0.0001453861
 3647.7      0.0001454981
 3647.8      0.0001456103
 3647.9      0.0001457222
 3648.0      0.0001458343
 3648.1      0.0001459465
 3648.2      0.0001460584
 3648.3      0.0001461705
 3648.4      0.0001462824
 3648.5      0.0001463945
 3648.6      0.0001465066
 3648.7      0.0001466185
 3648.8      0.0001467306
 3648.9      0.0001468424
 3649.0      0.0001469545
 3649.1      0.0001470884
 3649.2      0.0001472248
 3649.3      0.0001473616
 3649.4      0.0001474951
 3649.5      0.0001476232
 3649.6      0.0001477426
 3649.7      0.0001478501
 3649.8      0.0001479433
 3649.9      0.0001480190
 3650.0      0.0001480746
 3650.1      0.0001480982
 3650.2      0.0001481015
 3650.3      0.0001480874
 3650.4      0.0001480589
 3650.5      0.0001480188
 3650.6      0.0001479699
 3650.7      0.0001479153
 3650.8      0.0001478577
 3650.9      0.0001478003
 3651.0      0.0001477456
 3651.1      0.0001477127
 3651.2      0.0001476798
 3651.3      0.0001476468
 3651.4      0.0001476140
 3651.5      0.0001475810
 3651.6      0.0001475481
 3651.7      0.0001475152
 3651.8      0.0001474823
 3651.9      0.0001474494
 3652.0      0.0001474165
 3652.1      0.0001473836
 3652.2      0.0001473508
 3652.3      0.0001473179
 3652.4      0.0001472851
 3652.5      0.0001472522
 3652.6      0.0001472193
 3652.7      0.0001471865
 3652.8      0.0001471536
 3652.9      0.0001471208
 3653.0      0.0001470879
 3653.1      0.0001470550
 3653.2      0.0001470222
 3653.3      0.0001469893
 3653.4      0.0001469564
 3653.5      0.0001469235
 3653.6      0.0001468906
 3653.7      0.0001468577
 3653.8      0.0001468248
 3653.9      0.0001467920
 3654.0      0.0001467591
 3654.1      0.0001467262
 3654.2      0.0001466934
 3654.3      0.0001466605
 3654.4      0.0001466277
 3654.5      0.0001465948
 3654.6      0.0001465619
 3654.7      0.0001465291
 3654.8      0.0001464963
 3654.9      0.0001464635
 3655.0      0.0001464306
 3655.1      0.0001463978
 3655.2      0.0001463650
 3655.3      0.0001463322
 3655.4      0.0001462994
 3655.5      0.0001462665
 3655.6      0.0001462337
 3655.7      0.0001462009
 3655.8      0.0001461681
 3655.9      0.0001461353
 3656.0      0.0001461025
 3656.1      0.0001460697
 3656.2      0.0001460370
 3656.3      0.0001460042
 3656.4      0.0001459715
 3656.5      0.0001459387
 3656.6      0.0001459059
 3656.7      0.0001458732
 3656.8      0.0001458403
 3656.9      0.0001458076
 3657.0      0.0001457748
 3657.1      0.0001457419
 3657.2      0.0001457092
 3657.3      0.0001456763
 3657.4      0.0001456435
 3657.5      0.0001456106
 3657.6      0.0001455777
 3657.7      0.0001455449
 3657.8      0.0001455121
 3657.9      0.0001454793
 3658.0      0.0001454464
 3658.1      0.0001454135
 3658.2      0.0001453808
 3658.3      0.0001453479
 3658.4      0.0001453152
 3658.5      0.0001452824
 3658.6      0.0001452495
 3658.7      0.0001452168
 3658.8      0.0001451840
 3658.9      0.0001451513
 3659.0      0.0001451185
 3659.1      0.0001450858
 3659.2      0.0001450531
 3659.3      0.0001450203
 3659.4      0.0001449877
 3659.5      0.0001449550
 3659.6      0.0001449222
 3659.7      0.0001448896
 3659.8      0.0001448569
 3659.9      0.0001448242
 3660.0      0.0001447915
 3660.1      0.0001447588
 3660.2      0.0001447261
 3660.3      0.0001446933
 3660.4      0.0001446606
 3660.5      0.0001446279
 3660.6      0.0001445951
 3660.7      0.0001445624
 3660.8      0.0001445296
 3660.9      0.0001444970
 3661.0      0.0001444642
 3661.1      0.0001444314
 3661.2      0.0001443988
 3661.3      0.0001443660
 3661.4      0.0001443334
 3661.5      0.0001443006
 3661.6      0.0001442679
 3661.7      0.0001442352
 3661.8      0.0001442024
 3661.9      0.0001441698
 3662.0      0.0001441370
 3662.1      0.0001441042
 3662.2      0.0001440715
 3662.3      0.0001440387
 3662.4      0.0001440060
 3662.5      0.0001439733
 3662.6      0.0001439405
 3662.7      0.0001439078
 3662.8      0.0001438750
 3662.9      0.0001438423
 3663.0      0.0001438096
 3663.1      0.0001437769
 3663.2      0.0001437442
 3663.3      0.0001437115
 3663.4      0.0001436789
 3663.5      0.0001436462
 3663.6      0.0001436135
 3663.7      0.0001435808
 3663.8      0.0001435481
 3663.9      0.0001435155
 3664.0      0.0001434828
 3664.1      0.0001434501
 3664.2      0.0001434175
 3664.3      0.0001433848
 3664.4      0.0001433522
 3664.5      0.0001433195
 3664.6      0.0001432868
 3664.7      0.0001432542
 3664.8      0.0001432215
 3664.9      0.0001431889
 3665.0      0.0001431562
 3665.1      0.0001431235
 3665.2      0.0001430910
 3665.3      0.0001430583
 3665.4      0.0001430258
 3665.5      0.0001429931
 3665.6      0.0001429605
 3665.7      0.0001429279
 3665.8      0.0001428953
 3665.9      0.0001428627
 3666.0      0.0001428301
 3666.1      0.0001427974
 3666.2      0.0001427648
 3666.3      0.0001427321
 3666.4      0.0001426995
 3666.5      0.0001426669
 3666.6      0.0001426342
 3666.7      0.0001426016
 3666.8      0.0001425689
 3666.9      0.0001425363
 3667.0      0.0001425037
 3667.1      0.0001424710
 3667.2      0.0001424385
 3667.3      0.0001424058
 3667.4      0.0001423733
 3667.5      0.0001423407
 3667.6      0.0001423080
 3667.7      0.0001422755
 3667.8      0.0001422429
 3667.9      0.0001422104
 3668.0      0.0001421777
 3668.1      0.0001421451
 3668.2      0.0001421126
 3668.3      0.0001420800
 3668.4      0.0001420475
 3668.5      0.0001420149
 3668.6      0.0001419823
 3668.7      0.0001419498
 3668.8      0.0001419172
 3668.9      0.0001418847
 3669.0      0.0001418520
 3669.1      0.0001418219
 3669.2      0.0001417922
 3669.3      0.0001417624
 3669.4      0.0001417323
 3669.5      0.0001417015
 3669.6      0.0001416697
 3669.7      0.0001416366
 3669.8      0.0001416017
 3669.9      0.0001415649
 3670.0      0.0001415257
 3670.1      0.0001414828
 3670.2      0.0001414377
 3670.3      0.0001413905
 3670.4      0.0001413417
 3670.5      0.0001412914
 3670.6      0.0001412401
 3670.7      0.0001411883
 3670.8      0.0001411360
 3670.9      0.0001410839
 3671.0      0.0001410320
 3671.1      0.0001409825
 3671.2      0.0001409332
 3671.3      0.0001408838
 3671.4      0.0001408344
 3671.5      0.0001407850
 3671.6      0.0001407356
 3671.7      0.0001406863
 3671.8      0.0001406369
 3671.9      0.0001405876
 3672.0      0.0001405382
 3672.1      0.0001404888
 3672.2      0.0001404395
 3672.3      0.0001403902
 3672.4      0.0001403410
 3672.5      0.0001402916
 3672.6      0.0001402423
 3672.7      0.0001401931
 3672.8      0.0001401437
 3672.9      0.0001400945
 3673.0      0.0001400451
 3673.1      0.0001399958
 3673.2      0.0001399465
 3673.3      0.0001398971
 3673.4      0.0001398479
 3673.5      0.0001397985
 3673.6      0.0001397491
 3673.7      0.0001396998
 3673.8      0.0001396504
 3673.9      0.0001396012
 3674.0      0.0001395518
 3674.1      0.0001395025
 3674.2      0.0001394533
 3674.3      0.0001394039
 3674.4      0.0001393547
 3674.5      0.0001393054
 3674.6      0.0001392561
 3674.7      0.0001392069
 3674.8      0.0001391576
 3674.9      0.0001391084
 3675.0      0.0001390591
 3675.1      0.0001390098
 3675.2      0.0001389606
 3675.3      0.0001389113
 3675.4      0.0001388621
 3675.5      0.0001388128
 3675.6      0.0001387635
 3675.7      0.0001387143
 3675.8      0.0001386650
 3675.9      0.0001386159
 3676.0      0.0001385666
 3676.1      0.0001385173
 3676.2      0.0001384681
 3676.3      0.0001384188
 3676.4      0.0001383696
 3676.5      0.0001383203
 3676.6      0.0001382711
 3676.7      0.0001382219
 3676.8      0.0001381726
 3676.9      0.0001381235
 3677.0      0.0001380742
 3677.1      0.0001380250
 3677.2      0.0001379758
 3677.3      0.0001379266
 3677.4      0.0001378775
 3677.5      0.0001378283
 3677.6      0.0001377790
 3677.7      0.0001377299
 3677.8      0.0001376807
 3677.9      0.0001376316
 3678.0      0.0001375824
 3678.1      0.0001375332
 3678.2      0.0001374841
 3678.3      0.0001374349
 3678.4      0.0001373858
 3678.5      0.0001373366
 3678.6      0.0001372875
 3678.7      0.0001372384
 3678.8      0.0001371892
 3678.9      0.0001371401
 3679.0      0.0001370909
 3679.1      0.0001370417
 3679.2      0.0001369926
 3679.3      0.0001369434
 3679.4      0.0001368943
 3679.5      0.0001368451
 3679.6      0.0001367959
 3679.7      0.0001367468
 3679.8      0.0001366976
 3679.9      0.0001366485
 3680.0      0.0001365993
 3680.1      0.0001365501
 3680.2      0.0001365011
 3680.3      0.0001364519
 3680.4      0.0001364028
 3680.5      0.0001363537
 3680.6      0.0001363045
 3680.7      0.0001362555
 3680.8      0.0001362063
 3680.9      0.0001361573
 3681.0      0.0001361081
 3681.1      0.0001360589
 3681.2      0.0001360099
 3681.3      0.0001359607
 3681.4      0.0001359117
 3681.5      0.0001358625
 3681.6      0.0001358134
 3681.7      0.0001357643
 3681.8      0.0001357152
