# F5V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0001203329
 3600.1      0.0001203744
 3600.2      0.0001204159
 3600.3      0.0001204574
 3600.4      0.0001204988
 3600.5      0.0001205403
 3600.6      0.0001205819
 3600.7      0.0001206233
 3600.8      0.0001206648
 3600.9      0.0001207062
 3601.0      0.0001207477
 3601.1      0.0001207892
 3601.2      0.0001208305
 3601.3      0.0001208720
 3601.4      0.0001209134
 3601.5      0.0001209549
 3601.6      0.0001209963
 3601.7      0.0001210377
 3601.8      0.0001210792
 3601.9      0.0001211206
 3602.0      0.0001211621
 3602.1      0.0001212036
 3602.2      0.0001212450
 3602.3      0.0001212865
 3602.4      0.0001213279
 3602.5      0.0001213694
 3602.6      0.0001214109
 3602.7      0.0001214524
 3602.8      0.0001214939
 3602.9      0.0001215353
 3603.0      0.0001215768
 3603.1      0.0001216183
 3603.2      0.0001216596
 3603.3      0.0001217011
 3603.4      0.0001217425
 3603.5      0.0001217839
 3603.6      0.0001218254
 3603.7      0.0001218668
 3603.8      0.0001219082
 3603.9      0.0001219496
 3604.0      0.0001219910
 3604.1      0.0001220325
 3604.2      0.0001220739
 3604.3      0.0001221153
 3604.4      0.0001221567
 3604.5      0.0001221982
 3604.6      0.0001222396
 3604.7      0.0001222810
 3604.8      0.0001223224
 3604.9      0.0001223637
 3605.0      0.0001224051
 3605.1      0.0001224465
 3605.2      0.0001224878
 3605.3      0.0001225292
 3605.4      0.0001225704
 3605.5      0.0001226118
 3605.6      0.0001226532
 3605.7      0.0001226944
 3605.8      0.0001227358
 3605.9      0.0001227770
 3606.0      0.0001228184
 3606.1      0.0001228597
 3606.2      0.0001229010
 3606.3      0.0001229424
 3606.4      0.0001229836
 3606.5      0.0001230250
 3606.6      0.0001230664
 3606.7      0.0001231077
 3606.8      0.0001231490
 3606.9      0.0001231903
 3607.0      0.0001232317
 3607.1      0.0001232731
 3607.2      0.0001233144
 3607.3      0.0001233558
 3607.4      0.0001233971
 3607.5      0.0001234385
 3607.6      0.0001234800
 3607.7      0.0001235213
 3607.8      0.0001235626
 3607.9      0.0001236039
 3608.0      0.0001236453
 3608.1      0.0001236866
 3608.2      0.0001237279
 3608.3      0.0001237692
 3608.4      0.0001238104
 3608.5      0.0001238517
 3608.6      0.0001238930
 3608.7      0.0001239342
 3608.8      0.0001239755
 3608.9      0.0001240167
 3609.0      0.0001240580
 3609.1      0.0001241053
 3609.2      0.0001241533
 3609.3      0.0001242015
 3609.4      0.0001242487
 3609.5      0.0001242945
 3609.6      0.0001243379
 3609.7      0.0001243779
 3609.8      0.0001244141
 3609.9      0.0001244454
 3610.0      0.0001244712
 3610.1      0.0001244881
 3610.2      0.0001244995
 3610.3      0.0001245061
 3610.4      0.0001245086
 3610.5      0.0001245080
 3610.6      0.0001245050
 3610.7      0.0001245004
 3610.8      0.0001244950
 3610.9      0.0001244897
 3611.0      0.0001244851
 3611.1      0.0001244865
 3611.2      0.0001244880
 3611.3      0.0001244895
 3611.4      0.0001244910
 3611.5      0.0001244925
 3611.6      0.0001244940
 3611.7      0.0001244954
 3611.8      0.0001244969
 3611.9      0.0001244984
 3612.0      0.0001244999
 3612.1      0.0001245013
 3612.2      0.0001245027
 3612.3      0.0001245041
 3612.4      0.0001245055
 3612.5      0.0001245069
 3612.6      0.0001245082
 3612.7      0.0001245096
 3612.8      0.0001245110
 3612.9      0.0001245124
 3613.0      0.0001245138
 3613.1      0.0001245153
 3613.2      0.0001245167
 3613.3      0.0001245181
 3613.4      0.0001245196
 3613.5      0.0001245211
 3613.6      0.0001245225
 3613.7      0.0001245240
 3613.8      0.0001245254
 3613.9      0.0001245269
 3614.0      0.0001245284
 3614.1      0.0001245298
 3614.2      0.0001245312
 3614.3      0.0001245327
 3614.4      0.0001245341
 3614.5      0.0001245356
 3614.6      0.0001245370
 3614.7      0.0001245385
 3614.8      0.0001245399
 3614.9      0.0001245413
 3615.0      0.0001245428
 3615.1      0.0001245442
 3615.2      0.0001245457
 3615.3      0.0001245471
 3615.4      0.0001245486
 3615.5      0.0001245500
 3615.6      0.0001245515
 3615.7      0.0001245529
 3615.8      0.0001245543
 3615.9      0.0001245558
 3616.0      0.0001245572
 3616.1      0.0001245586
 3616.2      0.0001245600
 3616.3      0.0001245614
 3616.4      0.0001245628
 3616.5      0.0001245642
 3616.6      0.0001245656
 3616.7      0.0001245670
 3616.8      0.0001245684
 3616.9      0.0001245698
 3617.0      0.0001245712
 3617.1      0.0001245726
 3617.2      0.0001245741
 3617.3      0.0001245755
 3617.4      0.0001245770
 3617.5      0.0001245784
 3617.6      0.0001245799
 3617.7      0.0001245813
 3617.8      0.0001245828
 3617.9      0.0001245842
 3618.0      0.0001245856
 3618.1      0.0001245870
 3618.2      0.0001245884
 3618.3      0.0001245898
 3618.4      0.0001245912
 3618.5      0.0001245926
 3618.6      0.0001245940
 3618.7      0.0001245954
 3618.8      0.0001245968
 3618.9      0.0001245982
 3619.0      0.0001245996
 3619.1      0.0001246011
 3619.2      0.0001246025
 3619.3      0.0001246039
 3619.4      0.0001246054
 3619.5      0.0001246068
 3619.6      0.0001246083
 3619.7      0.0001246097
 3619.8      0.0001246112
 3619.9      0.0001246127
 3620.0      0.0001246141
 3620.1      0.0001246156
 3620.2      0.0001246170
 3620.3      0.0001246185
 3620.4      0.0001246200
 3620.5      0.0001246214
 3620.6      0.0001246229
 3620.7      0.0001246243
 3620.8      0.0001246258
 3620.9      0.0001246272
 3621.0      0.0001246287
 3621.1      0.0001246301
 3621.2      0.0001246315
 3621.3      0.0001246329
 3621.4      0.0001246343
 3621.5      0.0001246357
 3621.6      0.0001246371
 3621.7      0.0001246385
 3621.8      0.0001246399
 3621.9      0.0001246413
 3622.0      0.0001246428
 3622.1      0.0001246442
 3622.2      0.0001246456
 3622.3      0.0001246471
 3622.4      0.0001246485
 3622.5      0.0001246500
 3622.6      0.0001246514
 3622.7      0.0001246529
 3622.8      0.0001246543
 3622.9      0.0001246558
 3623.0      0.0001246572
 3623.1      0.0001246587
 3623.2      0.0001246601
 3623.3      0.0001246615
 3623.4      0.0001246629
 3623.5      0.0001246643
 3623.6      0.0001246657
 3623.7      0.0001246671
 3623.8      0.0001246685
 3623.9      0.0001246699
 3624.0      0.0001246713
 3624.1      0.0001246728
 3624.2      0.0001246742
 3624.3      0.0001246757
 3624.4      0.0001246771
 3624.5      0.0001246786
 3624.6      0.0001246800
 3624.7      0.0001246815
 3624.8      0.0001246829
 3624.9      0.0001246844
 3625.0      0.0001246858
 3625.1      0.0001246872
 3625.2      0.0001246887
 3625.3      0.0001246901
 3625.4      0.0001246915
 3625.5      0.0001246929
 3625.6      0.0001246943
 3625.7      0.0001246957
 3625.8      0.0001246971
 3625.9      0.0001246985
 3626.0      0.0001246999
 3626.1      0.0001247013
 3626.2      0.0001247028
 3626.3      0.0001247042
 3626.4      0.0001247056
 3626.5      0.0001247070
 3626.6      0.0001247084
 3626.7      0.0001247098
 3626.8      0.0001247112
 3626.9      0.0001247126
 3627.0      0.0001247141
 3627.1      0.0001247155
 3627.2      0.0001247169
 3627.3      0.0001247183
 3627.4      0.0001247197
 3627.5      0.0001247211
 3627.6      0.0001247225
 3627.7      0.0001247239
 3627.8      0.0001247253
 3627.9      0.0001247267
 3628.0      0.0001247282
 3628.1      0.0001247296
 3628.2      0.0001247311
 3628.3      0.0001247325
 3628.4      0.0001247340
 3628.5      0.0001247355
