# A1V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0001195660
 3600.1      0.0001195639
 3600.2      0.0001195619
 3600.3      0.0001195598
 3600.4      0.0001195578
 3600.5      0.0001195557
 3600.6      0.0001195537
 3600.7      0.0001195516
 3600.8      0.0001195496
 3600.9      0.0001195476
 3601.0      0.0001195455
 3601.1      0.0001195435
 3601.2      0.0001195414
 3601.3      0.0001195394
 3601.4      0.0001195374
 3601.5      0.0001195353
 3601.6      0.0001195333
 3601.7      0.0001195312
 3601.8      0.0001195292
 3601.9      0.0001195271
 3602.0      0.0001195251
 3602.1      0.0001195230
 3602.2      0.0001195210
 3602.3      0.0001195190
 3602.4      0.0001195169
 3602.5      0.0001195149
 3602.6      0.0001195128
 3602.7      0.0001195108
 3602.8      0.0001195087
 3602.9      0.0001195067
 3603.0      0.0001195046
 3603.1      0.0001195026
 3603.2      0.0001195005
 3603.3      0.0001194984
 3603.4      0.0001194963
 3603.5      0.0001194942
 3603.6      0.0001194921
 3603.7      0.0001194901
 3603.8      0.0001194880
 3603.9      0.0001194859
 3604.0      0.0001194838
 3604.1      0.0001194818
 3604.2      0.0001194797
 3604.3      0.0001194777
 3604.4      0.0001194756
 3604.5      0.0001194736
 3604.6      0.0001194715
 3604.7      0.0001194695
 3604.8      0.0001194674
 3604.9      0.0001194654
 3605.0      0.0001194634
 3605.1      0.0001194613
 3605.2      0.0001194593
 3605.3      0.0001194573
 3605.4      0.0001194552
 3605.5      0.0001194532
 3605.6      0.0001194512
 3605.7      0.0001194491
 3605.8      0.0001194471
 3605.9      0.0001194450
 3606.0      0.0001194430
 3606.1      0.0001194409
 3606.2      0.0001194388
 3606.3      0.0001194368
 3606.4      0.0001194347
 3606.5      0.0001194326
 3606.6      0.0001194305
 3606.7      0.0001194284
 3606.8      0.0001194263
 3606.9      0.0001194243
 3607.0      0.0001194222
 3607.1      0.0001194201
 3607.2      0.0001194181
 3607.3      0.0001194160
 3607.4      0.0001194140
 3607.5      0.0001194119
 3607.6      0.0001194099
 3607.7      0.0001194079
 3607.8      0.0001194058
 3607.9      0.0001194038
 3608.0      0.0001194018
 3608.1      0.0001193997
 3608.2      0.0001193977
 3608.3      0.0001193957
 3608.4      0.0001193937
 3608.5      0.0001193917
 3608.6      0.0001193896
 3608.7      0.0001193876
 3608.8      0.0001193856
 3608.9      0.0001193835
 3609.0      0.0001193814
 3609.1      0.0001193791
 3609.2      0.0001193766
 3609.3      0.0001193742
 3609.4      0.0001193718
 3609.5      0.0001193694
 3609.6      0.0001193672
 3609.7      0.0001193651
 3609.8      0.0001193632
 3609.9      0.0001193615
 3610.0      0.0001193601
 3610.1      0.0001193592
 3610.2      0.0001193585
 3610.3      0.0001193580
 3610.4      0.0001193577
 3610.5      0.0001193575
 3610.6      0.0001193575
 3610.7      0.0001193575
 3610.8      0.0001193576
 3610.9      0.0001193577
 3611.0      0.0001193577
 3611.1      0.0001193574
 3611.2      0.0001193571
 3611.3      0.0001193568
 3611.4      0.0001193565
 3611.5      0.0001193562
 3611.6      0.0001193559
 3611.7      0.0001193556
 3611.8      0.0001193553
 3611.9      0.0001193550
 3612.0      0.0001193546
 3612.1      0.0001193543
 3612.2      0.0001193540
 3612.3      0.0001193537
 3612.4      0.0001193534
 3612.5      0.0001193531
 3612.6      0.0001193528
 3612.7      0.0001193525
 3612.8      0.0001193522
 3612.9      0.0001193519
 3613.0      0.0001193517
 3613.1      0.0001193514
 3613.2      0.0001193511
 3613.3      0.0001193509
 3613.4      0.0001193506
 3613.5      0.0001193504
 3613.6      0.0001193501
 3613.7      0.0001193499
 3613.8      0.0001193496
 3613.9      0.0001193494
 3614.0      0.0001193491
 3614.1      0.0001193488
 3614.2      0.0001193484
 3614.3      0.0001193481
 3614.4      0.0001193477
 3614.5      0.0001193474
 3614.6      0.0001193471
 3614.7      0.0001193467
 3614.8      0.0001193464
 3614.9      0.0001193460
 3615.0      0.0001193457
 3615.1      0.0001193454
 3615.2      0.0001193451
 3615.3      0.0001193448
 3615.4      0.0001193445
