# QSO spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3624.2      0.0001128523
 3624.3      0.0001128124
 3624.4      0.0001127760
 3624.5      0.0001127435
 3624.6      0.0001127150
 3624.7      0.0001126911
 3624.8      0.0001126719
 3624.9      0.0001126578
 3625.0      0.0001126491
 3625.1      0.0001126666
 3625.2      0.0001126906
 3625.3      0.0001127204
 3625.4      0.0001127556
 3625.5      0.0001127955
 3625.6      0.0001128396
 3625.7      0.0001128871
 3625.8      0.0001129378
 3625.9      0.0001129907
 3626.0      0.0001130455
 3626.1      0.0001131016
 3626.2      0.0001131581
 3626.3      0.0001132149
 3626.4      0.0001132710
 3626.5      0.0001133261
 3626.6      0.0001133796
 3626.7      0.0001134306
 3626.8      0.0001134790
 3626.9      0.0001135237
 3627.0      0.0001135646
 3627.1      0.0001136008
 3627.2      0.0001136318
 3627.3      0.0001136570
 3627.4      0.0001136759
 3627.5      0.0001136879
 3627.6      0.0001136755
 3627.7      0.0001136574
 3627.8      0.0001136337
 3627.9      0.0001136049
 3628.0      0.0001135712
 3628.1      0.0001135328
 3628.2      0.0001134902
 3628.3      0.0001134434
 3628.4      0.0001133931
 3628.5      0.0001133393
 3628.6      0.0001132824
 3628.7      0.0001132228
 3628.8      0.0001131605
 3628.9      0.0001130962
 3629.0      0.0001130298
 3629.1      0.0001129619
 3629.2      0.0001128928
 3629.3      0.0001128225
 3629.4      0.0001127516
 3629.5      0.0001126802
 3629.6      0.0001126087
 3629.7      0.0001125376
 3629.8      0.0001124668
 3629.9      0.0001123969
 3630.0      0.0001123280
 3630.1      0.0001122505
 3630.2      0.0001121711
 3630.3      0.0001120900
 3630.4      0.0001120079
 3630.5      0.0001119250
 3630.6      0.0001118420
 3630.7      0.0001117596
 3630.8      0.0001116779
 3630.9      0.0001115978
 3631.0      0.0001115194
 3631.1      0.0001114434
 3631.2      0.0001113704
 3631.3      0.0001113007
 3631.4      0.0001112351
 3631.5      0.0001111737
 3631.6      0.0001111173
 3631.7      0.0001110663
 3631.8      0.0001110212
 3631.9      0.0001109825
 3632.0      0.0001109507
 3632.1      0.0001109263
 3632.2      0.0001109099
 3632.3      0.0001109018
 3632.4      0.0001109027
 3632.5      0.0001109130
 3632.6      0.0001109655
 3632.7      0.0001110293
 3632.8      0.0001111037
 3632.9      0.0001111872
 3633.0      0.0001112793
 3633.1      0.0001113789
 3633.2      0.0001114846
 3633.3      0.0001115960
 3633.4      0.0001117116
 3633.5      0.0001118309
 3633.6      0.0001119527
 3633.7      0.0001120756
 3633.8      0.0001121993
 3633.9      0.0001123222
 3634.0      0.0001124438
 3634.1      0.0001125630
 3634.2      0.0001126783
 3634.3      0.0001127895
 3634.4      0.0001128949
 3634.5      0.0001129941
 3634.6      0.0001130858
 3634.7      0.0001131689
 3634.8      0.0001132427
 3634.9      0.0001133059
 3635.0      0.0001133578
 3635.1      0.0001133673
 3635.2      0.0001133672
 3635.3      0.0001133582
 3635.4      0.0001133407
 3635.5      0.0001133152
 3635.6      0.0001132822
 3635.7      0.0001132424
 3635.8      0.0001131960
 3635.9      0.0001131438
 3636.0      0.0001130860
 3636.1      0.0001130233
 3636.2      0.0001129564
 3636.3      0.0001128854
 3636.4      0.0001128112
 3636.5      0.0001127339
 3636.6      0.0001126542
 3636.7      0.0001125729
 3636.8      0.0001124900
 3636.9      0.0001124065
 3637.0      0.0001123224
 3637.1      0.0001122386
 3637.2      0.0001121556
 3637.3      0.0001120735
 3637.4      0.0001119934
 3637.5      0.0001119153
 3637.6      0.0001118468
 3637.7      0.0001117776
 3637.8      0.0001117075
 3637.9      0.0001116371
 3638.0      0.0001115665
 3638.1      0.0001114961
 3638.2      0.0001114263
 3638.3      0.0001113571
 3638.4      0.0001112890
 3638.5      0.0001112221
 3638.6      0.0001111567
 3638.7      0.0001110933
 3638.8      0.0001110319
 3638.9      0.0001109731
 3639.0      0.0001109168
 3639.1      0.0001108634
 3639.2      0.0001108135
 3639.3      0.0001107669
 3639.4      0.0001107242
 3639.5      0.0001106855
 3639.6      0.0001106512
 3639.7      0.0001106215
 3639.8      0.0001105967
 3639.9      0.0001105772
 3640.0      0.0001105631
 3640.1      0.0001105641
 3640.2      0.0001105711
 3640.3      0.0001105835
 3640.4      0.0001106011
 3640.5      0.0001106234
 3640.6      0.0001106501
 3640.7      0.0001106806
 3640.8      0.0001107149
 3640.9      0.0001107523
 3641.0      0.0001107926
 3641.1      0.0001108353
 3641.2      0.0001108800
 3641.3      0.0001109266
 3641.4      0.0001109743
 3641.5      0.0001110231
 3641.6      0.0001110724
 3641.7      0.0001111218
 3641.8      0.0001111711
 3641.9      0.0001112197
 3642.0      0.0001112675
 3642.1      0.0001113139
 3642.2      0.0001113585
 3642.3      0.0001114010
 3642.4      0.0001114410
 3642.5      0.0001114783
 3642.6      0.0001115056
 3642.7      0.0001115317
 3642.8      0.0001115567
 3642.9      0.0001115804
 3643.0      0.0001116029
