# A3V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0001214263
 3600.1      0.0001214258
 3600.2      0.0001214253
 3600.3      0.0001214247
 3600.4      0.0001214242
 3600.5      0.0001214237
 3600.6      0.0001214231
 3600.7      0.0001214226
 3600.8      0.0001214220
 3600.9      0.0001214215
 3601.0      0.0001214210
 3601.1      0.0001214205
 3601.2      0.0001214200
 3601.3      0.0001214196
 3601.4      0.0001214191
 3601.5      0.0001214187
 3601.6      0.0001214182
 3601.7      0.0001214178
 3601.8      0.0001214173
 3601.9      0.0001214168
 3602.0      0.0001214163
 3602.1      0.0001214158
 3602.2      0.0001214153
 3602.3      0.0001214147
 3602.4      0.0001214142
 3602.5      0.0001214136
 3602.6      0.0001214131
 3602.7      0.0001214125
 3602.8      0.0001214120
 3602.9      0.0001214114
 3603.0      0.0001214109
 3603.1      0.0001214104
 3603.2      0.0001214099
 3603.3      0.0001214094
 3603.4      0.0001214089
 3603.5      0.0001214084
 3603.6      0.0001214079
 3603.7      0.0001214075
 3603.8      0.0001214070
 3603.9      0.0001214065
 3604.0      0.0001214060
 3604.1      0.0001214055
 3604.2      0.0001214050
 3604.3      0.0001214045
 3604.4      0.0001214040
 3604.5      0.0001214035
 3604.6      0.0001214030
 3604.7      0.0001214025
 3604.8      0.0001214020
 3604.9      0.0001214015
 3605.0      0.0001214010
 3605.1      0.0001214005
 3605.2      0.0001214000
 3605.3      0.0001213995
 3605.4      0.0001213991
 3605.5      0.0001213986
 3605.6      0.0001213981
 3605.7      0.0001213976
 3605.8      0.0001213971
 3605.9      0.0001213966
 3606.0      0.0001213961
 3606.1      0.0001213956
 3606.2      0.0001213950
 3606.3      0.0001213945
 3606.4      0.0001213939
 3606.5      0.0001213934
 3606.6      0.0001213928
 3606.7      0.0001213922
 3606.8      0.0001213917
 3606.9      0.0001213912
 3607.0      0.0001213906
 3607.1      0.0001213902
 3607.2      0.0001213897
 3607.3      0.0001213892
 3607.4      0.0001213888
 3607.5      0.0001213884
 3607.6      0.0001213879
 3607.7      0.0001213875
 3607.8      0.0001213870
 3607.9      0.0001213866
 3608.0      0.0001213861
 3608.1      0.0001213856
 3608.2      0.0001213851
 3608.3      0.0001213846
 3608.4      0.0001213840
 3608.5      0.0001213835
 3608.6      0.0001213830
 3608.7      0.0001213824
 3608.8      0.0001213819
 3608.9      0.0001213814
 3609.0      0.0001213808
 3609.1      0.0001213799
 3609.2      0.0001213789
 3609.3      0.0001213779
 3609.4      0.0001213770
 3609.5      0.0001213762
 3609.6      0.0001213755
 3609.7      0.0001213751
 3609.8      0.0001213750
