# Sc spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3624.2      0.0002896522
 3624.3      0.0002898871
 3624.4      0.0002901047
 3624.5      0.0002903061
 3624.6      0.0002904908
 3624.7      0.0002906582
 3624.8      0.0002908094
 3624.9      0.0002909434
 3625.0      0.0002910609
 3625.1      0.0002912382
 3625.2      0.0002913953
 3625.3      0.0002915333
 3625.4      0.0002916519
 3625.5      0.0002917519
 3625.6      0.0002918335
 3625.7      0.0002918968
 3625.8      0.0002919426
 3625.9      0.0002919709
 3626.0      0.0002919822
 3626.1      0.0002919769
 3626.2      0.0002919552
 3626.3      0.0002919175
 3626.4      0.0002918644
 3626.5      0.0002917958
 3626.6      0.0002917122
 3626.7      0.0002916144
 3626.8      0.0002915020
 3626.9      0.0002913761
 3627.0      0.0002912364
 3627.1      0.0002910835
 3627.2      0.0002909182
 3627.3      0.0002907400
 3627.4      0.0002905501
 3627.5      0.0002903481
 3627.6      0.0002901346
 3627.7      0.0002899106
 3627.8      0.0002896753
 3627.9      0.0002894303
 3628.0      0.0002891746
 3628.1      0.0002889093
 3628.2      0.0002886354
 3628.3      0.0002883519
 3628.4      0.0002880604
 3628.5      0.0002877600
 3628.6      0.0002874517
 3628.7      0.0002871367
 3628.8      0.0002868136
 3628.9      0.0002864846
 3629.0      0.0002861482
 3629.1      0.0002858057
 3629.2      0.0002854582
 3629.3      0.0002851045
 3629.4      0.0002847465
 3629.5      0.0002843830
 3629.6      0.0002840150
 3629.7      0.0002836439
 3629.8      0.0002832683
 3629.9      0.0002828902
 3630.0      0.0002825083
 3630.1      0.0002822349
 3630.2      0.0002819562
 3630.3      0.0002816708
 3630.4      0.0002813801
 3630.5      0.0002810827
 3630.6      0.0002807793
 3630.7      0.0002804705
 3630.8      0.0002801549
 3630.9      0.0002798340
 3631.0      0.0002795062
 3631.1      0.0002791722
 3631.2      0.0002788329
 3631.3      0.0002784866
 3631.4      0.0002781350
 3631.5      0.0002777763
 3631.6      0.0002774113
 3631.7      0.0002770410
 3631.8      0.0002766635
