# Atmospheric transmission curve combined from Anglo-Australian Observatory and Mauna Kea  (09/April/10, CEM).
#  Lambda (AA)  Transmission
3631.30     0.701091
3631.40     0.701114
3631.50     0.701137
3631.60     0.701160
3631.70     0.701183
3631.80     0.701206
3631.90     0.701230
3632.00     0.701253
3632.10     0.701276
3632.20     0.701299
3632.30     0.701322
3632.40     0.701345
3632.50     0.701368
3632.60     0.701391
3632.70     0.701415
3632.80     0.701438
3632.90     0.701461
3633.00     0.701484
3633.10     0.701507
3633.20     0.701530
3633.30     0.701553
3633.40     0.701576
3633.50     0.701600
3633.60     0.701623
3633.70     0.701646
3633.80     0.701669
3633.90     0.701692
3634.00     0.701715
3634.10     0.701738
3634.20     0.701761
3634.30     0.701785
3634.40     0.701808
3634.50     0.701831
3634.60     0.701854
3634.70     0.701877
3634.80     0.701900
3634.90     0.701923
3635.00     0.701946
3635.10     0.701970
3635.20     0.701993
3635.30     0.702016
3635.40     0.702039
3635.50     0.702062
3635.60     0.702085
3635.70     0.702108
3635.80     0.702131
3635.90     0.702154
3636.00     0.702178
3636.10     0.702201
3636.20     0.702224
3636.30     0.702247
3636.40     0.702270
3636.50     0.702293
3636.60     0.702316
3636.70     0.702339
3636.80     0.702363
3636.90     0.702386
3637.00     0.702409
3637.10     0.702432
3637.20     0.702455
3637.30     0.702478
3637.40     0.702501
3637.50     0.702524
3637.60     0.702548
3637.70     0.702571
3637.80     0.702594
3637.90     0.702617
3638.00     0.702640
3638.10     0.702663
3638.20     0.702686
3638.30     0.702709
3638.40     0.702733
3638.50     0.702756
3638.60     0.702779
3638.70     0.702802
3638.80     0.702825
3638.90     0.702848
3639.00     0.702871
3639.10     0.702894
3639.20     0.702917
3639.30     0.702941
3639.40     0.702964
3639.50     0.702987
3639.60     0.703010
3639.70     0.703033
3639.80     0.703056
3639.90     0.703079
3640.00     0.703102
3640.10     0.703126
3640.20     0.703149
3640.30     0.703172
3640.40     0.703195
3640.50     0.703218
3640.60     0.703241
3640.70     0.703264
3640.80     0.703287
3640.90     0.703310
3641.00     0.703334
3641.10     0.703357
3641.20     0.703380
3641.30     0.703403
3641.40     0.703426
3641.50     0.703449
3641.60     0.703472
3641.70     0.703496
3641.80     0.703519
3641.90     0.703542
3642.00     0.703565
3642.10     0.703588
3642.20     0.703611
3642.30     0.703634
3642.40     0.703657
3642.50     0.703680
3642.60     0.703704
3642.70     0.703727
3642.80     0.703750
3642.90     0.703773
3643.00     0.703796
3643.10     0.703819
3643.20     0.703842
3643.30     0.703865
3643.40     0.703889
3643.50     0.703912
3643.60     0.703935
3643.70     0.703958
3643.80     0.703981
3643.90     0.704004
3644.00     0.704027
3644.10     0.704050
3644.20     0.704074
3644.30     0.704097
3644.40     0.704120
3644.50     0.704143
3644.60     0.704166
3644.70     0.704189
3644.80     0.704212
3644.90     0.704235
3645.00     0.704259
3645.10     0.704282
3645.20     0.704305
3645.30     0.704328
3645.40     0.704351
3645.50     0.704374
3645.60     0.704397
3645.70     0.704420
3645.80     0.704444
3645.90     0.704467
3646.00     0.704490
3646.10     0.704513
3646.20     0.704536
3646.30     0.704559
3646.40     0.704582
3646.50     0.704605
3646.60     0.704629
3646.70     0.704652
3646.80     0.704675
3646.90     0.704698
3647.00     0.704721
3647.10     0.704744
3647.20     0.704767
3647.30     0.704790
3647.40     0.704813
3647.50     0.704837
3647.60     0.704860
3647.70     0.704883
3647.80     0.704906
3647.90     0.704929
3648.00     0.704952
3648.10     0.704975
3648.20     0.704998
3648.30     0.705022
3648.40     0.705045
3648.50     0.705068
3648.60     0.705091
3648.70     0.705114
3648.80     0.705137
3648.90     0.705160
3649.00     0.705183
3649.10     0.705207
3649.20     0.705230
3649.30     0.705253
3649.40     0.705276
3649.50     0.705299
3649.60     0.705322
3649.70     0.705345
3649.80     0.705368
3649.90     0.705392
3650.00     0.705415
3650.10     0.705438
3650.20     0.705461
3650.30     0.705484
3650.40     0.705507
3650.50     0.705530
3650.60     0.705553
3650.70     0.705576
3650.80     0.705600
3650.90     0.705623
3651.00     0.705646
3651.10     0.705669
3651.20     0.705692
3651.30     0.705715
3651.40     0.705738
3651.50     0.705761
3651.60     0.705785
3651.70     0.705808
3651.80     0.705831
3651.90     0.705854
3652.00     0.705877
3652.10     0.705900
3652.20     0.705923
3652.30     0.705946
3652.40     0.705970
3652.50     0.705993
3652.60     0.706016
3652.70     0.706039
3652.80     0.706062
3652.90     0.706085
3653.00     0.706108
3653.10     0.706131
3653.20     0.706155
3653.30     0.706178
3653.40     0.706201
